# Using Bulk W data set with air above and below
# Thickness of W layer is 10 nm (0.01 microns)
# Incident Angle is 45 deg
# Wavelengths span the entire data set of W date: 400 nm - 6000 nm

# Angle (deg)   Wavelength (nm)  Reflectance  Transmission
  45.0000000000 2555.5400000000  0.0796227794 0.5209155655
  45.0000000000 2551.7400000000  0.0797021741 0.5207249155
  45.0000000000 2547.9500000000  0.0797816424 0.5205342087
  45.0000000000 2544.1600000000  0.0798613944 0.5203429423
  45.0000000000 2540.3900000000  0.0799410082 0.5201521281
  45.0000000000 2536.6300000000  0.0800206928 0.5199612647
  45.0000000000 2532.8800000000  0.0801004472 0.5197703546
  45.0000000000 2529.1500000000  0.0801800568 0.5195799116
  45.0000000000 2525.4200000000  0.0802599473 0.5193889171
  45.0000000000 2521.7000000000  0.0803399048 0.5191978834
  45.0000000000 2518.0000000000  0.0804197120 0.5190073289
  45.0000000000 2514.3000000000  0.0804997995 0.5188162262
  45.0000000000 2510.6200000000  0.0805797332 0.5186256107
  45.0000000000 2506.9500000000  0.0806597283 0.5184349693
  45.0000000000 2503.2900000000  0.0807397836 0.5182443046
  45.0000000000 2499.6400000000  0.0808198982 0.5180536192
  45.0000000000 2496.0000000000  0.0809000710 0.5178629157
  45.0000000000 2492.3700000000  0.0809803009 0.5176721967
  45.0000000000 2488.7500000000  0.0810605869 0.5174814649
  45.0000000000 2485.1400000000  0.0811409279 0.5172907229
  45.0000000000 2481.5400000000  0.0812213228 0.5170999733
  45.0000000000 2477.9500000000  0.0813017705 0.5169092189
  45.0000000000 2474.3700000000  0.0813822700 0.5167184623
  45.0000000000 2470.8100000000  0.0814625942 0.5165282412
  45.0000000000 2467.2500000000  0.0815431931 0.5163374897
  45.0000000000 2463.7000000000  0.0816238404 0.5161467440
  45.0000000000 2460.1700000000  0.0817043067 0.5159565465
  45.0000000000 2456.6400000000  0.0817850468 0.5157658222
  45.0000000000 2453.1200000000  0.0818658318 0.5155751120
  45.0000000000 2449.6200000000  0.0819464302 0.5153849625
  45.0000000000 2446.1200000000  0.0820273011 0.5151942901
  45.0000000000 2442.6300000000  0.0821082137 0.5150036399
  45.0000000000 2439.1600000000  0.0821889337 0.5148135632
  45.0000000000 2435.6900000000  0.0822699252 0.5146229674
  45.0000000000 2432.2400000000  0.0823507202 0.5144329536
  45.0000000000 2428.7900000000  0.0824317859 0.5142424233
  45.0000000000 2425.3500000000  0.0825128873 0.5140519291
  45.0000000000 2421.9200000000  0.0825940233 0.5138614740
  45.0000000000 2418.5100000000  0.0826749548 0.5136716182
  45.0000000000 2415.1000000000  0.0827561554 0.5134812511
  45.0000000000 2411.7000000000  0.0828373869 0.5132909315
  45.0000000000 2408.3100000000  0.0829186480 0.5131006623
  45.0000000000 2404.9300000000  0.0829999376 0.5129104462
  45.0000000000 2401.5600000000  0.0830812544 0.5127202863
  45.0000000000 2398.2000000000  0.0831625971 0.5125301853
  45.0000000000 2394.8500000000  0.0832439645 0.5123401462
  45.0000000000 2391.5100000000  0.0833253554 0.5121501719
  45.0000000000 2388.1800000000  0.0834067684 0.5119602651
  45.0000000000 2384.8500000000  0.0834884481 0.5117698564
  45.0000000000 2381.5400000000  0.0835699024 0.5115800923
  45.0000000000 2378.2300000000  0.0836516224 0.5113898289
  45.0000000000 2374.9400000000  0.0837331129 0.5112002190
  45.0000000000 2371.6500000000  0.0838148681 0.5110101128
  45.0000000000 2368.3700000000  0.0838966393 0.5108200888
  45.0000000000 2365.1100000000  0.0839781748 0.5106307316
  45.0000000000 2361.8500000000  0.0840599733 0.5104408825
  45.0000000000 2358.6000000000  0.0841417840 0.5102511245
  45.0000000000 2355.3500000000  0.0842238583 0.5100608745
